epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71983,1.98184,7.56851,1.22101,0.002,0.6,0.00153,0.00072,1.63422,5.9161,1.09212,0.000333333,0.000333333,0.000333333
2,3.6295,2.32872,7.75262,1.36481,0.002,0.6,0.00158,0.00072,1.63422,5.9161,1.09212,0.0009901,0.0009901,0.0009901
3,4.4981,2.2145,6.54778,1.3086,0.002,0.6,0.00158,0.00072,1.63422,5.9161,1.09212,0.00163367,0.00163367,0.00163367
4,5.3968,2.42951,7.90027,1.38197,0.002,0.6,0.00147,0.00077,1.65394,5.97153,1.10069,0.0019406,0.0019406,0.0019406
5,6.27078,2.15043,6.85428,1.32047,0.002,0.6,0.00147,0.00077,1.65394,5.97153,1.10069,0.0019208,0.0019208,0.0019208
6,7.16011,2.5579,8.77531,1.60819,0.002,0.6,0.00147,0.00077,1.65394,5.97153,1.10069,0.001901,0.001901,0.001901
7,8.08672,2.13815,6.92823,1.30131,0.002,0.6,0.00147,0.00077,1.65394,5.97153,1.10069,0.0018812,0.0018812,0.0018812
8,9.03526,2.3751,7.1322,1.35771,0.002,0.6,0.00156,0.00062,1.63272,6.14538,1.08612,0.0018614,0.0018614,0.0018614
9,9.92563,2.37597,7.43452,1.40602,0.002,0.6,0.00156,0.00062,1.63272,6.14538,1.08612,0.0018416,0.0018416,0.0018416
10,10.8267,2.20009,7.24721,1.38116,0.002,0.6,0.00156,0.00062,1.63272,6.14538,1.08612,0.0018218,0.0018218,0.0018218
11,11.7337,2.02876,9.8095,1.26591,0.00267,0.8,0.00216,0.00123,1.59312,6.11364,1.07761,0.001802,0.001802,0.001802
12,12.624,2.26018,7.16674,1.35571,0.00267,0.8,0.00216,0.00123,1.59312,6.11364,1.07761,0.0017822,0.0017822,0.0017822
13,13.5229,2.33766,7.3843,1.45334,0.00267,0.8,0.00216,0.00123,1.59312,6.11364,1.07761,0.0017624,0.0017624,0.0017624
14,14.4513,2.20834,7.13974,1.33134,0.00267,0.8,0.00216,0.00123,1.59312,6.11364,1.07761,0.0017426,0.0017426,0.0017426
15,15.3735,2.18506,8.06123,1.44392,0.00267,0.8,0.00333,0.0021,1.53345,6.27684,1.06781,0.0017228,0.0017228,0.0017228
16,16.307,2.45687,9.60708,1.48181,0.00267,0.8,0.00333,0.0021,1.53345,6.27684,1.06781,0.001703,0.001703,0.001703
17,17.2145,2.09143,7.73556,1.28605,0.00267,0.8,0.00333,0.0021,1.53345,6.27684,1.06781,0.0016832,0.0016832,0.0016832
18,18.128,2.53933,8.97021,1.40728,0.002,0.6,0.0026,0.00183,1.46495,6.35825,1.04052,0.0016634,0.0016634,0.0016634
19,19.1412,2.34085,7.22523,1.39614,0.002,0.6,0.0026,0.00183,1.46495,6.35825,1.04052,0.0016436,0.0016436,0.0016436
20,20.0451,2.3898,10.5742,1.32171,0.002,0.6,0.0026,0.00183,1.46495,6.35825,1.04052,0.0016238,0.0016238,0.0016238
21,20.9801,2.0565,6.81282,1.25675,0.002,0.6,0.0026,0.00183,1.46495,6.35825,1.04052,0.001604,0.001604,0.001604
22,21.8772,2.12794,8.92102,1.21419,0.002,0.6,0.00234,0.00166,1.40183,6.44882,1.0279,0.0015842,0.0015842,0.0015842
23,22.7885,2.19535,7.25693,1.34283,0.002,0.6,0.00234,0.00166,1.40183,6.44882,1.0279,0.0015644,0.0015644,0.0015644
24,23.7606,2.16839,6.42989,1.17458,0.002,0.6,0.00234,0.00166,1.40183,6.44882,1.0279,0.0015446,0.0015446,0.0015446
25,24.7818,2.27428,7.83428,1.40832,0.00067,0.2,0.00024,2e-05,2.61082,7.84759,2.24302,0.0015248,0.0015248,0.0015248
26,25.8071,3.37308,8.68016,2.89372,0.00067,0.2,0.00024,2e-05,2.61082,7.84759,2.24302,0.001505,0.001505,0.001505
27,26.853,3.26826,7.91808,2.73307,0.00067,0.2,0.00024,2e-05,2.61082,7.84759,2.24302,0.0014852,0.0014852,0.0014852
28,27.983,2.50005,6.09899,2.2206,0.00067,0.2,0.00024,2e-05,2.61082,7.84759,2.24302,0.0014654,0.0014654,0.0014654
29,29.0498,2.702,7.93013,2.02055,0,0,0,0,2.91464,16.527,2.31395,0.0014456,0.0014456,0.0014456
30,30.0894,3.04413,9.79968,1.88552,0,0,0,0,2.91464,16.527,2.31395,0.0014258,0.0014258,0.0014258
31,31.1149,3.19167,10.9318,2.0404,0,0,0,0,2.91464,16.527,2.31395,0.001406,0.001406,0.001406
32,32.1575,3.39786,13.7289,2.20941,0,0,0,0,2.36042,8.90568,1.87479,0.0013862,0.0013862,0.0013862
33,33.2924,2.2633,6.67565,1.4566,0,0,0,0,2.36042,8.90568,1.87479,0.0013664,0.0013664,0.0013664
34,34.4549,2.17485,7.34913,1.57478,0,0,0,0,2.36042,8.90568,1.87479,0.0013466,0.0013466,0.0013466
35,35.5704,1.82694,7.0159,1.45239,0,0,0,0,2.36042,8.90568,1.87479,0.0013268,0.0013268,0.0013268
36,36.6631,2.13852,6.23203,1.54333,0,0,0,0,2.091,9.25413,1.79838,0.001307,0.001307,0.001307
37,37.6976,1.71249,6.3161,1.37629,0,0,0,0,2.091,9.25413,1.79838,0.0012872,0.0012872,0.0012872
38,38.8269,1.63936,6.04247,1.42641,0,0,0,0,2.091,9.25413,1.79838,0.0012674,0.0012674,0.0012674
39,39.8838,1.78156,5.57591,1.26638,0.00333,1,0.10274,0.03017,1.69346,8.47777,1.52848,0.0012476,0.0012476,0.0012476
40,41.0052,1.6427,4.82345,1.37529,0.00333,1,0.10274,0.03017,1.69346,8.47777,1.52848,0.0012278,0.0012278,0.0012278
41,42.0656,1.7034,4.48409,1.2271,0.00333,1,0.10274,0.03017,1.69346,8.47777,1.52848,0.001208,0.001208,0.001208
42,43.2034,1.59372,6.03854,1.3938,0.00333,1,0.10274,0.03017,1.69346,8.47777,1.52848,0.0011882,0.0011882,0.0011882
43,44.2616,1.59859,4.42484,1.28934,0.6998,0.47953,0.895,0.3641,1.81603,6.08255,1.72366,0.0011684,0.0011684,0.0011684
44,45.3828,1.72476,4.18108,1.28525,0.6998,0.47953,0.895,0.3641,1.81603,6.08255,1.72366,0.0011486,0.0011486,0.0011486
45,46.4112,1.56834,5.30373,1.20187,0.6998,0.47953,0.895,0.3641,1.81603,6.08255,1.72366,0.0011288,0.0011288,0.0011288
46,47.4882,1.74993,4.8143,1.38616,0.99156,0.8,0.90611,0.39161,1.78224,5.10291,1.66153,0.001109,0.001109,0.001109
47,48.7125,1.50255,4.80109,1.32759,0.99156,0.8,0.90611,0.39161,1.78224,5.10291,1.66153,0.0010892,0.0010892,0.0010892
48,49.7737,1.7024,3.98878,1.29414,0.99156,0.8,0.90611,0.39161,1.78224,5.10291,1.66153,0.0010694,0.0010694,0.0010694
49,50.8556,1.70442,3.89867,1.3146,0.99156,0.8,0.90611,0.39161,1.78224,5.10291,1.66153,0.0010496,0.0010496,0.0010496
50,52.0086,1.45279,3.71913,1.39053,0.76642,0.66568,0.89786,0.34933,1.77626,4.13323,1.64681,0.0010298,0.0010298,0.0010298
51,53.007,1.45001,3.21108,1.121,0.76642,0.66568,0.89786,0.34933,1.77626,4.13323,1.64681,0.00101,0.00101,0.00101
52,54.0203,1.51748,3.90797,1.31878,0.76642,0.66568,0.89786,0.34933,1.77626,4.13323,1.64681,0.0009902,0.0009902,0.0009902
53,55.0732,1.5774,3.05007,1.22221,1,0.98871,0.995,0.31887,2.02057,4.09703,1.85345,0.0009704,0.0009704,0.0009704
54,56.186,1.47188,3.45575,1.24665,1,0.98871,0.995,0.31887,2.02057,4.09703,1.85345,0.0009506,0.0009506,0.0009506
55,57.1922,1.50358,3.65827,1.1652,1,0.98871,0.995,0.31887,2.02057,4.09703,1.85345,0.0009308,0.0009308,0.0009308
56,58.2248,1.39057,3.46509,1.19293,1,0.98871,0.995,0.31887,2.02057,4.09703,1.85345,0.000911,0.000911,0.000911
57,59.2799,1.37793,3.87797,1.24735,0.44028,0.6,0.47932,0.17751,2.15947,4.33511,2.16683,0.0008912,0.0008912,0.0008912
58,60.3638,1.50437,3.27657,1.1833,0.44028,0.6,0.47932,0.17751,2.15947,4.33511,2.16683,0.0008714,0.0008714,0.0008714
59,61.3739,1.29817,3.19604,1.13625,0.44028,0.6,0.47932,0.17751,2.15947,4.33511,2.16683,0.0008516,0.0008516,0.0008516
60,62.4855,1.37789,3.3525,1.33314,0.69146,1,0.92833,0.26733,2.15396,3.9762,2.26305,0.0008318,0.0008318,0.0008318
61,63.5045,1.32924,3.47604,1.18258,0.69146,1,0.92833,0.26733,2.15396,3.9762,2.26305,0.000812,0.000812,0.000812
62,64.5052,1.44216,2.71746,1.17462,0.69146,1,0.92833,0.26733,2.15396,3.9762,2.26305,0.0007922,0.0007922,0.0007922
63,65.5128,1.44853,3.64285,1.24465,0.69146,1,0.92833,0.26733,2.15396,3.9762,2.26305,0.0007724,0.0007724,0.0007724
64,66.5541,1.54505,2.82918,1.14193,0.70219,1,0.88071,0.38288,1.92876,3.62246,2.02727,0.0007526,0.0007526,0.0007526
65,67.5808,1.58188,3.175,1.27826,0.70219,1,0.88071,0.38288,1.92876,3.62246,2.02727,0.0007328,0.0007328,0.0007328
66,68.6928,1.33419,3.14994,1.07718,0.70219,1,0.88071,0.38288,1.92876,3.62246,2.02727,0.000713,0.000713,0.000713
67,69.724,1.42425,3.40378,1.29929,0.94078,0.8,0.93786,0.38271,1.90903,3.37291,2.03557,0.0006932,0.0006932,0.0006932
68,70.7464,1.32386,2.86968,1.08894,0.94078,0.8,0.93786,0.38271,1.90903,3.37291,2.03557,0.0006734,0.0006734,0.0006734
69,71.7908,1.52782,2.93554,1.16465,0.94078,0.8,0.93786,0.38271,1.90903,3.37291,2.03557,0.0006536,0.0006536,0.0006536
70,72.9139,1.66468,2.70093,1.30683,0.94078,0.8,0.93786,0.38271,1.90903,3.37291,2.03557,0.0006338,0.0006338,0.0006338
71,73.9246,1.41207,2.59768,1.17649,1,0.95446,0.995,0.39936,1.96086,3.28958,1.98988,0.000614,0.000614,0.000614
