epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2866,1.58075,1.70317,1.08184,0.03786,0.88662,0.78482,0.43275,1.32478,3.33434,1.05877,0.00065,0.00065,0.00065
2,33.4476,1.39867,1.05825,1.03904,0.04315,0.9684,0.8559,0.52206,1.37303,2.81299,1.04803,0.00130798,0.00130798,0.00130798
3,49.1929,1.37351,0.93953,1.02638,0.93319,0.92165,0.94977,0.55243,1.46623,1.98497,1.1075,0.00195715,0.00195715,0.00195715
4,65.9872,1.414,0.94742,1.04454,0.9507,0.91406,0.95141,0.58212,1.47454,1.49376,1.14469,0.0019604,0.0019604,0.0019604
5,77.6418,1.36609,0.85914,1.02308,0.94166,0.92997,0.95397,0.59267,1.50543,1.18397,1.15395,0.0019472,0.0019472,0.0019472
6,89.0282,1.31836,0.82456,1.02124,0.95189,0.93773,0.95074,0.582,1.43677,1.17616,1.12529,0.001934,0.001934,0.001934
7,100.432,1.28426,0.76739,1.00116,0.94561,0.93959,0.95518,0.61616,1.33659,1.08552,1.09371,0.0019208,0.0019208,0.0019208
8,111.755,1.31012,0.75105,1.02387,0.94175,0.93166,0.94931,0.5744,1.49713,0.99865,1.16924,0.0019076,0.0019076,0.0019076
9,123.052,1.28377,0.73414,1.02185,0.93906,0.94526,0.95515,0.59197,1.45457,0.96518,1.14421,0.0018944,0.0018944,0.0018944
10,134.257,1.21604,0.67265,1.00591,0.94963,0.94625,0.95485,0.57538,1.43062,0.85229,1.10687,0.0018812,0.0018812,0.0018812
11,145.515,1.19895,0.66814,0.98546,0.95118,0.92844,0.96623,0.6121,1.39909,0.79938,1.1102,0.001868,0.001868,0.001868
12,156.728,1.17055,0.65737,0.99094,0.94376,0.94145,0.94714,0.59331,1.42838,0.75902,1.16242,0.0018548,0.0018548,0.0018548
13,167.956,1.26032,0.63464,1.00755,0.93142,0.94238,0.95475,0.52056,1.55077,0.80512,1.15076,0.0018416,0.0018416,0.0018416
14,179.15,1.204,0.63627,0.99786,0.94087,0.94703,0.96405,0.60672,1.42356,0.78403,1.11844,0.0018284,0.0018284,0.0018284
15,190.465,1.22038,0.62372,0.9904,0.95557,0.9461,0.9662,0.59776,1.39154,0.71159,1.08732,0.0018152,0.0018152,0.0018152
16,201.688,1.17336,0.60447,0.97915,0.95609,0.9461,0.9578,0.59991,1.40978,0.70001,1.14932,0.001802,0.001802,0.001802
17,212.91,1.15356,0.59207,0.9781,0.9464,0.95169,0.9621,0.6044,1.42919,0.65648,1.15242,0.0017888,0.0017888,0.0017888
18,224.066,1.13637,0.58459,0.98101,0.94532,0.94517,0.95041,0.60189,1.40343,0.67836,1.12968,0.0017756,0.0017756,0.0017756
19,235.328,1.1297,0.56605,0.96283,0.95239,0.94238,0.95837,0.60264,1.43762,0.70361,1.14032,0.0017624,0.0017624,0.0017624
20,246.553,1.10777,0.55627,0.96559,0.94814,0.95159,0.95927,0.61116,1.41746,0.62511,1.16128,0.0017492,0.0017492,0.0017492
21,257.8,1.10706,0.54908,0.95207,0.93912,0.94796,0.95253,0.59136,1.45344,0.62884,1.16272,0.001736,0.001736,0.001736
22,268.957,1.10161,0.54677,0.9701,0.94841,0.95674,0.95629,0.58555,1.4067,0.62675,1.12343,0.0017228,0.0017228,0.0017228
23,280.177,1.09549,0.54819,0.96076,0.95364,0.94517,0.95476,0.61147,1.37282,0.60898,1.1179,0.0017096,0.0017096,0.0017096
24,291.369,1.1501,0.55569,0.96479,0.95134,0.921,0.94142,0.53125,1.52998,0.63731,1.17098,0.0016964,0.0016964,0.0016964
25,302.541,1.11268,0.53498,0.96029,0.95358,0.93548,0.95732,0.61514,1.38671,0.59731,1.12892,0.0016832,0.0016832,0.0016832
26,313.762,1.07016,0.52935,0.94965,0.94748,0.93894,0.95964,0.61039,1.39036,0.57904,1.11649,0.00167,0.00167,0.00167
27,324.873,1.03556,0.51297,0.94703,0.94485,0.93866,0.95487,0.59067,1.44167,0.60217,1.1789,0.0016568,0.0016568,0.0016568
28,336.077,1.07621,0.52266,0.95608,0.95053,0.94634,0.96225,0.62359,1.35621,0.59256,1.13526,0.0016436,0.0016436,0.0016436
29,347.265,1.08159,0.52199,0.95143,0.9289,0.94424,0.96688,0.61738,1.39257,0.61351,1.13769,0.0016304,0.0016304,0.0016304
30,358.48,1.07546,0.51256,0.95557,0.95148,0.94981,0.97461,0.62117,1.42467,0.58943,1.14169,0.0016172,0.0016172,0.0016172
31,369.647,1.06603,0.50474,0.95041,0.95364,0.94517,0.95835,0.61394,1.37779,0.55685,1.12521,0.001604,0.001604,0.001604
32,380.832,1.04141,0.5003,0.93545,0.9555,0.95167,0.9702,0.60675,1.37993,0.54358,1.12351,0.0015908,0.0015908,0.0015908
