epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82642,1.60429,1.89738,1.08703,0.04804,0.86066,0.63444,0.35019,1.19727,3.00812,1.00001,0.000637681,0.000637681,0.000637681
2,16.9357,1.48231,1.15326,1.06881,0.03926,0.70332,0.61695,0.319,1.34716,2.82277,1.02763,0.00129574,0.00129574,0.00129574
3,25.0744,1.39785,0.98684,1.0713,0.90601,0.40203,0.7974,0.37797,1.42562,2.40192,1.0804,0.001945,0.001945,0.001945
4,33.0907,1.43497,0.93342,1.08188,0.89781,0.29979,0.83942,0.35247,1.67932,2.22612,1.14873,0.0019604,0.0019604,0.0019604
5,41.0992,1.39954,0.8827,1.05899,0.93547,0.91564,0.96035,0.57916,1.31139,1.22201,1.05921,0.0019472,0.0019472,0.0019472
6,49.0834,1.35134,0.85572,1.06722,0.93948,0.927,0.94328,0.59755,1.29564,1.12678,1.04945,0.001934,0.001934,0.001934
7,57.2264,1.29338,0.81784,1.02993,0.94534,0.92038,0.94233,0.5921,1.24853,0.84105,1.05577,0.0019208,0.0019208,0.0019208
8,65.2725,1.28541,0.77438,1.03482,0.97159,0.91564,0.95103,0.59195,1.29057,0.76738,1.07043,0.0019076,0.0019076,0.0019076
9,73.3484,1.36502,0.79404,1.06347,0.94336,0.91571,0.95359,0.55001,1.37734,0.7977,1.10542,0.0018944,0.0018944,0.0018944
10,81.3518,1.30513,0.74844,1.02605,0.95148,0.91073,0.95136,0.59573,1.28651,0.71956,1.07866,0.0018812,0.0018812,0.0018812
11,89.3531,1.24781,0.70909,1.01148,0.94467,0.93864,0.95407,0.59475,1.25295,0.68343,1.06716,0.001868,0.001868,0.001868
12,97.3538,1.22921,0.68904,1.01899,0.95346,0.95154,0.95997,0.57507,1.33304,0.64137,1.09594,0.0018548,0.0018548,0.0018548
13,105.41,1.22573,0.67644,1.01931,0.95447,0.93398,0.9526,0.57322,1.33894,0.66265,1.08317,0.0018416,0.0018416,0.0018416
14,113.462,1.22901,0.66397,1.01548,0.97176,0.94028,0.95859,0.58883,1.32213,0.63277,1.08574,0.0018284,0.0018284,0.0018284
15,121.48,1.17684,0.6431,1.01244,0.94503,0.94597,0.95566,0.60653,1.31433,0.59356,1.07546,0.0018152,0.0018152,0.0018152
16,129.438,1.18019,0.62783,1.0131,0.94773,0.94408,0.9536,0.60402,1.28963,0.56562,1.07547,0.001802,0.001802,0.001802
17,137.49,1.15298,0.60382,0.98558,0.96111,0.93744,0.95541,0.59252,1.325,0.59071,1.08089,0.0017888,0.0017888,0.0017888
18,145.478,1.12763,0.5885,0.9961,0.94738,0.95261,0.9574,0.58119,1.33062,0.59747,1.09376,0.0017756,0.0017756,0.0017756
19,153.447,1.14028,0.59003,1.00672,0.94276,0.95239,0.95514,0.59346,1.3184,0.57089,1.07925,0.0017624,0.0017624,0.0017624
20,161.367,1.10717,0.57314,0.97364,0.93974,0.9545,0.95792,0.59664,1.32682,0.57287,1.07454,0.0017492,0.0017492,0.0017492
21,169.336,1.10296,0.56946,0.97918,0.93638,0.94871,0.95435,0.57634,1.35761,0.57752,1.09353,0.001736,0.001736,0.001736
22,177.255,1.10559,0.5651,0.98883,0.93838,0.94692,0.94664,0.57518,1.33974,0.56406,1.08605,0.0017228,0.0017228,0.0017228
23,185.166,1.09109,0.5489,0.96597,0.91019,0.93839,0.93624,0.52233,1.5027,0.62487,1.13067,0.0017096,0.0017096,0.0017096
24,193.18,1.08568,0.54559,0.97878,0.93247,0.95546,0.9533,0.61409,1.21431,0.51402,1.05997,0.0016964,0.0016964,0.0016964
25,201.21,1.10117,0.54271,0.97058,0.94293,0.94976,0.96031,0.59785,1.26981,0.53415,1.0695,0.0016832,0.0016832,0.0016832
26,209.205,1.1426,0.55735,0.99854,0.94346,0.94218,0.96099,0.60801,1.25051,0.52361,1.07015,0.00167,0.00167,0.00167
27,217.182,1.10865,0.54755,0.97476,0.9275,0.94692,0.94285,0.57546,1.27438,0.54419,1.09825,0.0016568,0.0016568,0.0016568
28,225.188,1.07609,0.53992,0.97317,0.93473,0.94692,0.95195,0.60251,1.29107,0.53748,1.07911,0.0016436,0.0016436,0.0016436
29,233.109,1.09142,0.53468,0.97518,0.94145,0.95545,0.96371,0.58881,1.32599,0.53259,1.08943,0.0016304,0.0016304,0.0016304
30,241.11,1.0616,0.5222,0.94947,0.94028,0.95261,0.95796,0.59475,1.30706,0.50968,1.08423,0.0016172,0.0016172,0.0016172
31,248.978,1.0383,0.50478,0.95969,0.93117,0.95261,0.94985,0.58157,1.31806,0.52237,1.08821,0.001604,0.001604,0.001604
32,257.059,1.03788,0.50495,0.94914,0.94348,0.94934,0.95398,0.5964,1.28286,0.52007,1.0787,0.0015908,0.0015908,0.0015908
33,264.977,1.04292,0.50008,0.9654,0.94271,0.95261,0.95885,0.61075,1.25651,0.50949,1.05089,0.0015776,0.0015776,0.0015776
34,272.888,1.04643,0.50262,0.97061,0.92622,0.9327,0.95916,0.59264,1.31024,0.59518,1.06624,0.0015644,0.0015644,0.0015644
35,280.788,1.04739,0.49816,0.96696,0.93478,0.92379,0.95297,0.58413,1.32423,0.56362,1.08273,0.0015512,0.0015512,0.0015512
36,288.72,1.01436,0.48863,0.94216,0.93485,0.93934,0.94414,0.60574,1.28342,0.51784,1.08786,0.001538,0.001538,0.001538
37,296.687,1.01819,0.48814,0.9549,0.9475,0.93744,0.95057,0.60067,1.2927,0.50162,1.07586,0.0015248,0.0015248,0.0015248
38,304.713,1.04544,0.49813,0.94669,0.94091,0.94028,0.94944,0.59455,1.28257,0.49534,1.07728,0.0015116,0.0015116,0.0015116
39,312.646,1.023,0.48067,0.95099,0.94222,0.94787,0.95867,0.59922,1.28277,0.5042,1.05302,0.0014984,0.0014984,0.0014984
40,320.632,1.0024,0.47903,0.94609,0.95677,0.94395,0.95975,0.6157,1.23175,0.48461,1.07108,0.0014852,0.0014852,0.0014852
41,328.643,0.97958,0.46657,0.94056,0.93037,0.9372,0.96027,0.57342,1.37352,0.52974,1.10672,0.001472,0.001472,0.001472
42,336.649,1.00652,0.47533,0.94278,0.94059,0.94543,0.95167,0.59534,1.33423,0.51218,1.10403,0.0014588,0.0014588,0.0014588
43,344.731,1.01737,0.47937,0.94815,0.94253,0.94123,0.95852,0.59919,1.32346,0.49476,1.09578,0.0014456,0.0014456,0.0014456
44,352.694,1.00432,0.46734,0.9484,0.9469,0.94652,0.95329,0.60217,1.31531,0.4799,1.0895,0.0014324,0.0014324,0.0014324
45,360.698,0.97957,0.45625,0.94187,0.94325,0.94525,0.94991,0.57156,1.38807,0.51577,1.09418,0.0014192,0.0014192,0.0014192
46,368.815,0.97785,0.45935,0.9398,0.9435,0.94963,0.96067,0.58543,1.35419,0.50228,1.08125,0.001406,0.001406,0.001406
47,377.201,0.99735,0.46426,0.94145,0.94254,0.94218,0.9577,0.6081,1.30201,0.48404,1.06577,0.0013928,0.0013928,0.0013928
48,385.311,0.97498,0.45149,0.93228,0.94469,0.9389,0.9541,0.58444,1.35675,0.50564,1.07793,0.0013796,0.0013796,0.0013796
49,393.404,0.95527,0.44715,0.93461,0.94702,0.95545,0.95319,0.59456,1.33007,0.48301,1.09594,0.0013664,0.0013664,0.0013664
50,401.373,0.97098,0.45101,0.93079,0.94367,0.95266,0.95671,0.60768,1.33388,0.48619,1.08911,0.0013532,0.0013532,0.0013532
51,409.268,0.95267,0.43997,0.93215,0.94356,0.95082,0.95829,0.60051,1.33305,0.47912,1.09021,0.00134,0.00134,0.00134
52,417.234,0.94085,0.44507,0.92963,0.95172,0.95295,0.9666,0.60108,1.32829,0.48012,1.08234,0.0013268,0.0013268,0.0013268
53,425.212,0.95675,0.44288,0.93004,0.94525,0.9492,0.95546,0.61729,1.23364,0.46289,1.05899,0.0013136,0.0013136,0.0013136
54,433.231,0.93484,0.44123,0.92663,0.9412,0.95583,0.95324,0.60727,1.29809,0.48686,1.07641,0.0013004,0.0013004,0.0013004
55,441.167,0.93843,0.44263,0.93598,0.94453,0.94123,0.95031,0.58348,1.29077,0.48443,1.08301,0.0012872,0.0012872,0.0012872
56,449.149,0.94827,0.43888,0.93229,0.94286,0.94597,0.95231,0.59501,1.29224,0.48505,1.08246,0.001274,0.001274,0.001274
57,457.102,0.96445,0.44324,0.93496,0.94488,0.94218,0.94973,0.60329,1.29115,0.47724,1.08331,0.0012608,0.0012608,0.0012608
58,465.036,0.93347,0.43544,0.92307,0.94607,0.94775,0.96227,0.61421,1.27077,0.46728,1.07347,0.0012476,0.0012476,0.0012476
59,473.006,0.95472,0.43723,0.93347,0.94154,0.94642,0.9667,0.61283,1.27385,0.4677,1.07252,0.0012344,0.0012344,0.0012344
60,480.983,0.93196,0.43063,0.94293,0.94324,0.95355,0.95514,0.61854,1.22699,0.45278,1.06067,0.0012212,0.0012212,0.0012212
61,488.999,0.93501,0.42767,0.93397,0.94661,0.9545,0.9636,0.62932,1.22578,0.44147,1.05547,0.001208,0.001208,0.001208
62,496.997,0.92553,0.42601,0.93226,0.94624,0.94692,0.96478,0.61777,1.23585,0.45998,1.05805,0.0011948,0.0011948,0.0011948
63,505.01,0.91487,0.42441,0.92158,0.93489,0.94218,0.95401,0.6186,1.2268,0.46264,1.06624,0.0011816,0.0011816,0.0011816
64,512.935,0.90263,0.41532,0.91676,0.94086,0.94028,0.9554,0.60432,1.23914,0.46519,1.05701,0.0011684,0.0011684,0.0011684
65,520.905,0.91526,0.42299,0.91675,0.94395,0.93649,0.9554,0.60979,1.25195,0.46856,1.05708,0.0011552,0.0011552,0.0011552
66,528.873,0.89718,0.41242,0.91937,0.93357,0.93934,0.95613,0.60103,1.27943,0.4726,1.07613,0.001142,0.001142,0.001142
67,536.752,0.9158,0.42008,0.91983,0.93635,0.93934,0.94998,0.60548,1.25564,0.46173,1.07134,0.0011288,0.0011288,0.0011288
68,544.714,0.88844,0.41076,0.91912,0.94009,0.94313,0.94207,0.59777,1.27061,0.45124,1.08153,0.0011156,0.0011156,0.0011156
69,552.645,0.87314,0.40447,0.91725,0.93638,0.94976,0.95,0.59947,1.28989,0.46188,1.08303,0.0011024,0.0011024,0.0011024
70,560.629,0.89448,0.41171,0.90815,0.94367,0.95283,0.96545,0.58661,1.34742,0.47138,1.09107,0.0010892,0.0010892,0.0010892
71,568.625,0.87813,0.40153,0.91564,0.94462,0.94502,0.96477,0.58808,1.30017,0.47241,1.08759,0.001076,0.001076,0.001076
72,576.624,0.88609,0.40132,0.9171,0.94354,0.93744,0.96613,0.57854,1.36563,0.48072,1.11164,0.0010628,0.0010628,0.0010628
73,584.573,0.88374,0.40262,0.91166,0.94743,0.93839,0.96416,0.58647,1.33819,0.47606,1.09501,0.0010496,0.0010496,0.0010496
74,592.559,0.87626,0.40443,0.90304,0.94772,0.94498,0.96543,0.55685,1.43101,0.48669,1.12192,0.0010364,0.0010364,0.0010364
75,600.52,0.86538,0.40241,0.89966,0.94509,0.94628,0.96974,0.59809,1.33569,0.46462,1.08885,0.0010232,0.0010232,0.0010232
76,608.387,0.87053,0.40153,0.91078,0.94599,0.94218,0.95964,0.57262,1.39335,0.48692,1.1192,0.00101,0.00101,0.00101
77,616.416,0.86579,0.40088,0.90853,0.94602,0.94408,0.95779,0.6089,1.28851,0.47116,1.08509,0.0009968,0.0009968,0.0009968
78,624.463,0.862,0.39729,0.90417,0.9507,0.95042,0.95452,0.59897,1.30997,0.45852,1.091,0.0009836,0.0009836,0.0009836
79,632.584,0.84269,0.38548,0.91384,0.94768,0.94419,0.95526,0.59567,1.30564,0.46346,1.0941,0.0009704,0.0009704,0.0009704
80,640.617,0.86743,0.39136,0.9244,0.95292,0.94597,0.95231,0.58591,1.31982,0.457,1.09331,0.0009572,0.0009572,0.0009572
81,648.566,0.85818,0.39112,0.91215,0.93547,0.93934,0.94653,0.61138,1.26841,0.45774,1.07597,0.000944,0.000944,0.000944
82,656.622,0.85947,0.39719,0.89924,0.93842,0.94123,0.94372,0.60857,1.26111,0.45335,1.07949,0.0009308,0.0009308,0.0009308
83,664.529,0.83799,0.39098,0.90843,0.94034,0.94114,0.95616,0.60975,1.26615,0.46075,1.07508,0.0009176,0.0009176,0.0009176
84,672.492,0.86568,0.39417,0.90295,0.93996,0.94408,0.96368,0.5877,1.33413,0.47524,1.10805,0.0009044,0.0009044,0.0009044
85,680.36,0.85923,0.39454,0.91216,0.94294,0.94028,0.96647,0.59451,1.33191,0.46845,1.10394,0.0008912,0.0008912,0.0008912
86,688.456,0.85567,0.39226,0.91229,0.94202,0.94692,0.95366,0.59471,1.31951,0.46293,1.09472,0.000878,0.000878,0.000878
87,696.503,0.84829,0.39393,0.89991,0.94337,0.94737,0.96081,0.59514,1.35232,0.4779,1.10169,0.0008648,0.0008648,0.0008648
